source,target,weight
0x16b70f44719b227278a2dc1122e8106cc929ecd1,0xd196ff450071fc1c0f1c6a53293a71f1a3dbea33,5
0xc145d2afa931a43a363af35a8909991ab9c05580,0x60a39010e4892b862d1bb6bdde908215ac5af6f3,10
0x9b0229c39498cb04408a240ca778a0930e5a77f9,0x77696bb39917c91a0c3908d577d5e322095425ca,1
0xa13f78fac1a4ee1fd49eb4e2a62f6cbc57672525,0x60a39010e4892b862d1bb6bdde908215ac5af6f3,1
0xa13f78fac1a4ee1fd49eb4e2a62f6cbc57672525,0x16b70f44719b227278a2dc1122e8106cc929ecd1,1
0xa13f78fac1a4ee1fd49eb4e2a62f6cbc57672525,0x7210e71c96e002ecc784f4be6f0cb5ce35e49b2d,1
0x77696bb39917c91a0c3908d577d5e322095425ca,0xf753f7e00b4739096cc5ba95aab0d72bcf349c00,1
0x8b0e5d5df0dbb29b903954a12d6bb752d8af44b4,0x16b70f44719b227278a2dc1122e8106cc929ecd1,1
0x065e70073c812d96708d6392c66652c97890b5eb,0x77696bb39917c91a0c3908d577d5e322095425ca,2
0x60a39010e4892b862d1bb6bdde908215ac5af6f3,0x0c2b2443f493b7173a7862d9dfbfcf7f708eeafa,6
0x16b70f44719b227278a2dc1122e8106cc929ecd1,0xef2f8ec43790457784efbe78fa044254c274ba3c,1
0x60a39010e4892b862d1bb6bdde908215ac5af6f3,0x0c2b2443f493b7173a7862d9dfbfcf7f708eeafa,6
0x77696bb39917c91a0c3908d577d5e322095425ca,0xcfcac448b12db81c9c0eaef6641c1be3ffeea31f,1
0x60a39010e4892b862d1bb6bdde908215ac5af6f3,0x2d08d157c84748ac4feab299a29b379e055e85de,2
0x55cc0cd320d298880c8d9124d105965e03466e8d,0x7cb86bd2bb1b8f94e01df2f882d3940df861de92,1
0x77696bb39917c91a0c3908d577d5e322095425ca,0x652f52715f25e311757ab2fd110f5e77b7b0bd05,2
0x9ebded71092e0d48af9c70aa24254993a3d3c8a4,0x065e70073c812d96708d6392c66652c97890b5eb,2
0x16b70f44719b227278a2dc1122e8106cc929ecd1,0xd196ff450071fc1c0f1c6a53293a71f1a3dbea33,5
