source,target,weight
0x16b70f44719b227278a2dc1122e8106cc929ecd1,0x8f3ab4c0d4d41694fea84e30b1309b0628abdb99,170
0x16b70f44719b227278a2dc1122e8106cc929ecd1,0xd83eb40979ca0dabe945e22629a72765dc9a39bd,7
0x60a39010e4892b862d1bb6bdde908215ac5af6f3,0x1111111254fb6c44bac0bed2854e76f90643097d,120
0x16b70f44719b227278a2dc1122e8106cc929ecd1,0x1111111254fb6c44bac0bed2854e76f90643097d,127
0x1111111254fb6c44bac0bed2854e76f90643097d,0x8f3ab4c0d4d41694fea84e30b1309b0628abdb99,36
0x8f3ab4c0d4d41694fea84e30b1309b0628abdb99,0xf0a3b9f19afc040c39a50001760ca1659fb7871b,116
0xd83eb40979ca0dabe945e22629a72765dc9a39bd,0x657b6689ebe98c65efe88f2b2b6c0f27ae282368,22
0x88172e5d79fe75c7aed1453e89ff5d741cfa4ca7,0x60a39010e4892b862d1bb6bdde908215ac5af6f3,113
0x5aca9d6428d4afd05dc06b6b6c2fa6813a705483,0x74de5d4fcbf63e00296fd95d33236b9794016631,39
0x74de5d4fcbf63e00296fd95d33236b9794016631,0x60a39010e4892b862d1bb6bdde908215ac5af6f3,670
0x74de5d4fcbf63e00296fd95d33236b9794016631,0x16b70f44719b227278a2dc1122e8106cc929ecd1,578
0x60a39010e4892b862d1bb6bdde908215ac5af6f3,0x88172e5d79fe75c7aed1453e89ff5d741cfa4ca7,116
0x16b70f44719b227278a2dc1122e8106cc929ecd1,0x8f3ab4c0d4d41694fea84e30b1309b0628abdb99,170
0x16b70f44719b227278a2dc1122e8106cc929ecd1,0x7942cbfbcee2d99226ca8328a18de44ffb5af678,25
0x60a39010e4892b862d1bb6bdde908215ac5af6f3,0x16b70f44719b227278a2dc1122e8106cc929ecd1,52
0xf0a3b9f19afc040c39a50001760ca1659fb7871b,0x28c6c06298d514db089934071355e5743bf21d60,91
0x60a39010e4892b862d1bb6bdde908215ac5af6f3,0x41c2505e22ca9527a49edc6336a407df3b10c209,2
0x88172e5d79fe75c7aed1453e89ff5d741cfa4ca7,0x74de5d4fcbf63e00296fd95d33236b9794016631,165
0x74de5d4fcbf63e00296fd95d33236b9794016631,0xa9a2fe89d3f1646939ecddfdcc3f843fadb30f6b,1
