source,target,weight
0xb4f61d17c8acb842845f429596a8f7d21b39d9a7,0x805f3674c50c2814d05aecad838ab0178c46e9b3,2
0x5f65f7b609678448494de4c87521cdf6cef1e932,0x156223fb9b5b34550e786d4732824e7fdd0fe62c,2
0x0698f030885c358a2ac81afc2ff8bf7b086e0773,0x0000000000000000000000000000000000000000,1
0x60a39010e4892b862d1bb6bdde908215ac5af6f3,0x83d420a602b5cd560ac5fa9bbca0d5e91e4cb975,1
0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,0x43d936856485c6ff09e05ffdf0a97989a433ab9d,1
0x156223fb9b5b34550e786d4732824e7fdd0fe62c,0xa1d8d972560c2f8144af871db508f0b0b10a3fbf,2
0x0000000000000000000000000000000000000000,0x8f8c78b99bf1a0d38de628245a0032460dce07e5,3
0x0000000000000000000000000000000000000000,0x8f8c78b99bf1a0d38de628245a0032460dce07e5,3
0x5f65f7b609678448494de4c87521cdf6cef1e932,0xaadcc7585803e381b8e4611a779b65f4e15da1aa,3
0x8f8c78b99bf1a0d38de628245a0032460dce07e5,0x16b70f44719b227278a2dc1122e8106cc929ecd1,2
0x0000000000000000000000000000000000000000,0xb93f6d40581ddba7c127e9adb284eece648278c3,1
0xb93f6d40581ddba7c127e9adb284eece648278c3,0x25077489ea08f0edb95e0eb603b2bd9281088e3d,1
0x60a39010e4892b862d1bb6bdde908215ac5af6f3,0x5c67b3110413f747a200098d8e9626b14dd90ad6,1
0x8aff5ca996f77487a4f04f1ce905bf3d27455580,0x60a39010e4892b862d1bb6bdde908215ac5af6f3,84
0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,0x3f5a493a81517bfa9dd447f8425f5b6b921c9a38,1
0x0000000000000000000000000000000000000000,0x5c67b3110413f747a200098d8e9626b14dd90ad6,2
0x25077489ea08f0edb95e0eb603b2bd9281088e3d,0x5f65f7b609678448494de4c87521cdf6cef1e932,1
0x5c67b3110413f747a200098d8e9626b14dd90ad6,0x9a739ec1fbc5af7d2ac9bffc44aeae147abeb09c,1
0x5f65f7b609678448494de4c87521cdf6cef1e932,0x6d96f0afdc1ddf5e78e78530e940d487b8200d0c,1
0x60a39010e4892b862d1bb6bdde908215ac5af6f3,0x74de5d4fcbf63e00296fd95d33236b9794016631,239
0x74de5d4fcbf63e00296fd95d33236b9794016631,0x3d5497c6008cf352f75649aa123880e0d50e0fc1,7
0x16b70f44719b227278a2dc1122e8106cc929ecd1,0xd8f6398d1d8abc9adfede2f8d8c0fb641d9e4734,2
0x1ac0dbb48d39c4155d6b50e09606456ba6342a5b,0xd8f6398d1d8abc9adfede2f8d8c0fb641d9e4734,1
0x9b9ba2b4708122067b3f7e26f0d590eb1c5c80ba,0x16b70f44719b227278a2dc1122e8106cc929ecd1,1
0x0000000000000000000000000000000000000000,0xa7db212fa902071ef1802740b7c14c1478818e80,3
0x0000000000000000000000000000000000000000,0xa7db212fa902071ef1802740b7c14c1478818e80,3
0xae0169a43d15c1208bd6f7f3d77e556a1ec50f20,0x60a39010e4892b862d1bb6bdde908215ac5af6f3,3
0xa7db212fa902071ef1802740b7c14c1478818e80,0x74de5d4fcbf63e00296fd95d33236b9794016631,2
0x74de5d4fcbf63e00296fd95d33236b9794016631,0x0000006daea1723962647b7e189d311d757fb793,166
0x5f65f7b609678448494de4c87521cdf6cef1e932,0x3566d2d1a421eee44bcb8f88dbc7a6ebfc70b372,1
0xc856f1d73d74fd8ed8ba7ada2b74e9f0744cf8db,0x74de5d4fcbf63e00296fd95d33236b9794016631,2
0x74de5d4fcbf63e00296fd95d33236b9794016631,0x0000006daea1723962647b7e189d311d757fb793,166
0x0000006daea1723962647b7e189d311d757fb793,0x74de5d4fcbf63e00296fd95d33236b9794016631,179
